CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. Rating,Count of Rating
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,October 2017,NL,CE,4.772727273,44
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,November 2017,NL,CE,4.766666667,30
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,December 2017,NL,CE,4.540540541,37
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,January 2018,NL,CE,4.632653061,49
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,February 2018,NL,CE,4.388888889,36
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.523809524,21
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.5,38
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.541666667,24
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.76,25
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.4,25
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.185185185,27
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.447368421,38
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.806451613,31
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.625,24
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.652173913,23
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.642857143,28
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.464285714,28
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.909090909,11
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.826923077,52
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.854545455,55
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.8125,48
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.851063830,47
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.761194030,67
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.826923077,52
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.836065574,61
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.792452830,53
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.755555556,45
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.870967742,62
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.701492537,67
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.875,56
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.803921569,51
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.838709677,31
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.75,40
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.464285714,28
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.405405405,37
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.758620690,29
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.764705882,34
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.62,50
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.590909091,44
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.65625,32
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.769230769,39
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.608695652,23
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.771428571,35
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.702127660,47
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.869047619,84
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.855555556,90
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.797297297,74
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.884210526,95
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.892561983,121
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.821782178,101
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.915887850,107
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.949152542,118
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.94,100
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.840425532,94
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.802469136,81
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.885964912,114
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.944444444,90
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.625,16
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.111111111,27
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.681818182,22
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.875,24
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.888888889,27
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.529411765,34
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.909090909,44
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.888888889,27
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.806451613,31
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.685714286,35
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.7,30
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.782608696,23
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.903225806,31
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.666666667,57
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.538461538,52
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.519230769,52
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.666666667,45
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.377049180,61
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.823529412,51
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.53125,64
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.551724138,58
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.676923077,65
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.583333333,48
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.805555556,36
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.482758621,58
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.744186047,43
Non-Prog,WI033 TRI CITY HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.743589744,78
Non-Prog,WI033 TRI CITY HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.766666667,60
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,February 2017,NL,CE,4.142857143,35
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,March 2017,NL,CE,4.379310345,29
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,April 2017,NL,CE,4.5,34
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,May 2017,NL,CE,4.261904762,42
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,June 2017,NL,CE,4.219512195,41
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,July 2017,NL,CE,4.148936170,47
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,August 2017,NL,CE,4.491228070,57
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,September 2017,NL,CE,4.680851064,47
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,October 2017,NL,CE,4.577777778,45
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,November 2017,NL,CE,4.660377358,53
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,December 2017,NL,CE,4.393939394,33
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.8,50
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.5,44
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,April 2017,NL,CE,4.102362205,127
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,May 2017,NL,CE,4.198581560,141
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,June 2017,NL,CE,4.259259259,135
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,July 2017,NL,CE,4.210526316,133
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,August 2017,NL,CE,4.366412214,131
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,September 2017,NL,CE,4.186274510,102
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,October 2017,NL,CE,4.435483871,124
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,November 2017,NL,CE,4.719512195,164
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,December 2017,NL,CE,4.751515152,165
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,January 2018,NL,CE,4.701754386,171
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,February 2018,NL,CE,4.786206897,145
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,April 2017,NL,CE,4.340909091,88
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,May 2017,NL,CE,4.411764706,85
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,June 2017,NL,CE,3.988636364,88
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,July 2017,NL,CE,4.213483146,89
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,August 2017,NL,CE,3.9375,112
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,September 2017,NL,CE,4.269662921,89
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,October 2017,NL,CE,4.360465116,86
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,November 2017,NL,CE,4.621212121,66
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,December 2017,NL,CE,4.5,74
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,January 2018,NL,CE,4.631067961,103
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,February 2018,NL,CE,4.694736842,95
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.605263158,38
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.516129032,31
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.681818182,44
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.742857143,35
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.625,56
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.674418605,43
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.56,75
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.693877551,49
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.9,50
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.720930233,43
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.589285714,56
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.58,50
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.617647059,34
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.833333333,12
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.2,20
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.8,15
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.416666667,12
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.583333333,12
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.857142857,7
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.833333333,30
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.7,20
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.642857143,14
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.333333333,18
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.5625,16
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.8125,16
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.647058824,17
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.703703704,81
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.728971963,107
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.744680851,94
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.805309735,113
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.825757576,132
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.657657658,111
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.816901408,142
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.8125,128
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.71875,128
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.830645161,124
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.890909091,110
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.692857143,140
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.780303030,132
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.777142857,175
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.774725275,182
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.773584906,159
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.847328244,131
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.685863874,191
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.580419580,143
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.777108434,166
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.768361582,177
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.716763006,173
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.772972973,185
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.745098039,153
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.753333333,150
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.781065089,169
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.765517241,145
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.770491803,183
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.746666667,150
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.710144928,138
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.655555556,180
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.727941176,136
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.709497207,179
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.78,150
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.758928571,112
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.775362319,138
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.798076923,104
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.850746269,134
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.752066116,121
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.507462687,134
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.440366972,109
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.296296296,108
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.557251908,131
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.582781457,151
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.470149254,134
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.597883598,189
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.515625,192
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.578378378,185
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.826589595,173
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.748091603,131
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.564417178,163
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.512658228,158
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.595041322,121
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.698412698,126
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.663551402,107
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.657407407,108
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.677685950,121
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.657894737,76
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.691489362,94
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.621621622,74
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.675675676,74
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.663716814,113
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.560975610,41
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.642857143,14
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.8125,16
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.588235294,17
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.470588235,17
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.666666667,36
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,3.944444444,18
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.636363636,44
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.642857143,28
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.571428571,21
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.315789474,19
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.736842105,19
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.428571429,21
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.5,12
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,4.607843137,102
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,4.59,100
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,4.522123894,113
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,4.396825397,126
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,4.587786260,131
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,4.632075472,106
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.612612613,111
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.489130435,92
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.690265487,113
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.5625,112
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,4.425925926,108
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.726618705,139
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.605042017,119
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,August 2017,NL,CE,4.238095238,21
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,September 2017,NL,CE,4.714285714,14
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,October 2017,NL,CE,4.818181818,11
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,November 2017,NL,CE,4.631578947,19
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,December 2017,NL,CE,4.826086957,23
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,January 2018,NL,CE,4.521739130,23
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,February 2018,NL,CE,4.916666667,12
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,4.200934579,214
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,4.276190476,105
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,4.299065421,107
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,4.528455285,123
