CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. Rating,Count of Rating
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.412698413,63
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.582278481,79
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.847457627,59
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.692307692,65
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.657894737,76
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.707070707,99
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.771084337,83
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.5,12
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.701298701,77
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.699186992,123
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.745762712,118
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.78125,96
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.663716814,113
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.758620690,87
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.433962264,53
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.509090909,55
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.516666667,60
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.557142857,70
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.105263158,76
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.421875,64
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.523809524,63
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.25,84
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.404761905,84
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.382716049,81
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.597014925,67
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.564814815,108
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.564516129,124
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.607843137,51
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.650793651,63
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.8,45
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.869565217,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.772727273,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.758620690,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.714285714,77
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.583333333,60
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.666666667,72
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.842105263,57
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.869565217,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.727272727,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.716981132,53
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2017,NL,CE,4.775280899,89
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,March 2017,NL,CE,4.740740741,81
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,April 2017,NL,CE,4.671052632,76
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,May 2017,NL,CE,4.563380282,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,June 2017,NL,CE,4.659793814,97
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,July 2017,NL,CE,4.863013699,73
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,August 2017,NL,CE,4.644067797,118
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,September 2017,NL,CE,4.5625,80
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,October 2017,NL,CE,4.789473684,95
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,November 2017,NL,CE,4.684782609,92
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,December 2017,NL,CE,4.788732394,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2018,NL,CE,4.702127660,94
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2018,NL,CE,4.715909091,88
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.48,100
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.518518519,162
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.266055046,109
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.370967742,124
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.263959391,197
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.617647059,136
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.487309645,197
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.560240964,166
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.597122302,139
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.582608696,115
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.6953125,128
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.647482014,139
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.420168067,119
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2017,NL,CE,4.707317073,41
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,March 2017,NL,CE,4.595744681,47
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,April 2017,NL,CE,4.521739130,46
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,May 2017,NL,CE,4.590163934,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,June 2017,NL,CE,4.525641026,78
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,July 2017,NL,CE,4.442622951,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,August 2017,NL,CE,4.4625,80
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,September 2017,NL,CE,4.405797101,69
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,October 2017,NL,CE,4.597222222,72
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,November 2017,NL,CE,4.574074074,54
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,December 2017,NL,CE,4.471428571,70
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2018,NL,CE,4.5,88
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2018,NL,CE,4.838709677,62
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,February 2017,NL,CE,4.796296296,54
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,March 2017,NL,CE,4.655172414,58
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,April 2017,NL,CE,4.682926829,41
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,May 2017,NL,CE,4.638297872,47
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,June 2017,NL,CE,4.642857143,56
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,July 2017,NL,CE,4.75,56
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,August 2017,NL,CE,4.714285714,7
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,September 2017,NL,CE,4.571428571,70
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,October 2017,NL,CE,4.818181818,44
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,November 2017,NL,CE,4.46,50
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,December 2017,NL,CE,4.875,32
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,January 2018,NL,CE,4.754098361,61
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,February 2018,NL,CE,4.723404255,47
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,February 2017,NL,CE,4.666666667,81
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,March 2017,NL,CE,4.594936709,79
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,April 2017,NL,CE,4.670886076,79
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,May 2017,NL,CE,4.330188679,106
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,June 2017,NL,CE,4.536585366,82
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,July 2017,NL,CE,4.535714286,112
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,August 2017,NL,CE,4.395604396,91
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,September 2017,NL,CE,4.475524476,143
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,October 2017,NL,CE,4.516129032,93
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,November 2017,NL,CE,4.546391753,97
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,December 2017,NL,CE,4.569892473,93
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,January 2018,NL,CE,4.486238532,109
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,February 2018,NL,CE,4.482352941,85
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,February 2017,NL,CE,4.473684211,95
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,March 2017,NL,CE,4.684684685,111
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,April 2017,NL,CE,4.541666667,72
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,May 2017,NL,CE,4.792792793,111
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,June 2017,NL,CE,4.625,104
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,July 2017,NL,CE,4.75,136
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,August 2017,NL,CE,4.864516129,155
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,September 2017,NL,CE,4.776315789,152
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,October 2017,NL,CE,4.801724138,116
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,November 2017,NL,CE,4.855263158,152
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,December 2017,NL,CE,4.716981132,159
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,January 2018,NL,CE,4.78125,224
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,February 2018,NL,CE,4.841379310,145
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4,53
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.381818182,55
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.131578947,38
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.127659574,47
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.305084746,59
