DEALER,DEALER PROGRAM,DIST,Measure Names,"Month, Year of Rpt Month_Cal",NATL,REGION CODE,Dlr Ret %,Brnd Den Ct,Brnd Num Ct
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.372148451,2937,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.375508820,2948,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.380386834,2947,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.378585724,2998,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.377875507,2956,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.382611637,2956,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.361759729,2955,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.358548168,2948,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.369668246,2954,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.361437689,2977,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.362255233,2962,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.366306550,2962,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.369932432,2960,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.683714002,2014,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.686011905,2016,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.696819085,2012,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.700540010,2037,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.704545455,2024,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.691212568,2037,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.627365357,2061,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.631937683,2054,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.628791526,2077,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.640915594,2097,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.616714697,2082,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.649494463,2077,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.647143543,2083,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.299903335,4138,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.307932692,4160,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.315345700,4151,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.312816799,4143,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.308061420,4168,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.300741095,4183,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.297355254,4197,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.301493245,4219,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.299181287,4275,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.292974239,4270,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.284476703,4271,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.285747447,4308,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.279091331,4314,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.354084265,5815,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.353748499,5829,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.353052451,5815,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.353533629,5858,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.357999315,5838,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.360963938,5851,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.357921635,5870,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.360510638,5875,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.312971454,6761,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.312325547,6807,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.298126567,6779,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.325317203,6778,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.326664720,6848,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.635756810,5543,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.636462094,5540,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.637235390,5527,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.641683222,5537,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.637388616,5499,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.635620915,5508,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.632575068,5495,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.632749818,5484,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.546608178,6383,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.545041517,6383,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.544267967,6359,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.547510602,6367,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.537981594,6411,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.297413352,9781,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.297755102,9800,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.297600817,9795,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.300823893,9710,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.296977796,9728,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.294075293,9722,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.291791122,9709,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.293289487,9731,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.327713383,8541,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.329428304,8536,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.319674985,8615,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.317902309,8619,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.316610796,8651,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.535001406,3557,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.528981429,3554,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.517650381,3541,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.516056338,3550,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.518550228,3504,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.514416215,3503,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.478285879,3477,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.475528526,3453,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.305540011,5361,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.298957558,5372,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.287472036,5364,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.284282798,5389,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.275932078,5418,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.263678478,7987,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.260629625,7973,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.255538771,7944,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.255453285,7931,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.257396825,7875,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.255103335,7887,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.262368053,7863,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.268003064,7832,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.338050820,6218,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.335842409,6244,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.327622098,6245,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.324976046,6262,
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.329817833,6258,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.515028902,1730,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.520207852,1732,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.527874564,1722,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.538371412,1707,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.527485380,1710,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.529137529,1716,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.533642691,1724,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.532871972,1734,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.534285714,1750,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.521246459,1765,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.528473804,1756,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.536363636,1760,
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.526226734,1773,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.381316489,6016,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.380463576,6040,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.382231062,6033,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.392474006,6059,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.398082328,6049,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.398946675,6076,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.398523380,6095,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.404605263,6080,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.401861528,6124,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.401987942,6137,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.399087799,6139,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.406006494,6160,
IL080 GERALD HYUNDAI,Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.405004036,6195,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.287185826,4854,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.280165289,4840,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.287435099,4815,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.281929207,4831,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.280931587,4809,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.274968659,4786,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.276765137,4773,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.276158524,4769,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.278767554,4771,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.279424040,4792,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.278520685,4786,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.276348548,4820,
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.269558000,4819,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.410180447,7426,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.410488002,7418,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.411233836,7424,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.410628019,7452,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.408956825,7458,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.412333736,7443,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.412339400,7472,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.410211739,7462,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.409575887,7498,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.406766116,7508,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.405312085,7530,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.408244154,7569,
IL087 ROSEN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.411198946,7590,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.251922434,5982,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.258451291,6005,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.254551528,5987,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.249380268,6051,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.251375229,5999,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.247544531,6007,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.244854273,6073,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.248888157,6071,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.246436179,6103,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.246447820,6123,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.239602023,6131,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.239539410,6166,
IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.237258065,6200,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2017,NL,CE,0.186731523,7401,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,March 2017,NL,CE,0.186985284,7407,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,April 2017,NL,CE,0.188860349,7397,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,May 2017,NL,CE,0.190873603,7429,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,June 2017,NL,CE,0.192885162,7393,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,July 2017,NL,CE,0.192963464,7390,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,August 2017,NL,CE,0.180273973,7300,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,September 2017,NL,CE,0.169308554,7318,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,October 2017,NL,CE,0.245177469,5184,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,November 2017,NL,CE,0.234489403,5190,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,December 2017,NL,CE,0.229653973,5173,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,January 2018,NL,CE,0.233032109,5201,
IL051 ROGERS HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2018,NL,CE,0.226641294,5255,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2017,NL,CE,0.546756384,5796,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,March 2017,NL,CE,0.542980189,5805,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,April 2017,NL,CE,0.541213064,5787,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,May 2017,NL,CE,0.535738832,5820,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,June 2017,NL,CE,0.533483302,5779,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,July 2017,NL,CE,0.534336620,5781,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,August 2017,NL,CE,0.517974421,5786,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,September 2017,NL,CE,0.515203870,5788,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,October 2017,NL,CE,0.399946745,7511,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,November 2017,NL,CE,0.398614442,7506,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,December 2017,NL,CE,0.388164894,7520,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,January 2018,NL,CE,0.384105960,7550,
IL052 PUGI HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2018,NL,CE,0.380283556,7547,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2017,NL,CE,0.216196847,8372,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,March 2017,NL,CE,0.216084000,8381,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,April 2017,NL,CE,0.215044776,8375,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,May 2017,NL,CE,0.217499408,8446,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,June 2017,NL,CE,0.217881738,8422,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,July 2017,NL,CE,0.219983406,8437,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,August 2017,NL,CE,0.222629463,8458,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,September 2017,NL,CE,0.228092935,8479,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,October 2017,NL,CE,0.228201010,8716,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,November 2017,NL,CE,0.234091169,8753,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,December 2017,NL,CE,0.243416533,8734,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,January 2018,NL,CE,0.254105839,8768,
IL059 D'ARCY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2018,NL,CE,0.255602321,8791,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2017,NL,CE,0.640171718,7687,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,March 2017,NL,CE,0.634209841,7682,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,April 2017,NL,CE,0.633215732,7653,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,May 2017,NL,CE,0.630120952,7689,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,June 2017,NL,CE,0.631510247,7661,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,July 2017,NL,CE,0.630321233,7658,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,August 2017,NL,CE,0.617750554,7673,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,September 2017,NL,CE,0.618613139,7672,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,October 2017,NL,CE,0.706073592,6767,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,November 2017,NL,CE,0.710215530,6774,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,December 2017,NL,CE,0.718792047,6689,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,January 2018,NL,CE,0.716995110,6749,
IL063 FAMILY HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2018,NL,CE,0.706680431,6781,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,February 2017,NL,CE,0.435403592,4621,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,March 2017,NL,CE,0.440432432,4625,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,April 2017,NL,CE,0.443024263,4616,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,May 2017,NL,CE,0.448230953,4607,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,June 2017,NL,CE,0.445866782,4609,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,July 2017,NL,CE,0.443453676,4598,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,August 2017,NL,CE,0.418954248,4590,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,September 2017,NL,CE,0.411777583,4568,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,October 2017,NL,CE,0.422008313,4571,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,November 2017,NL,CE,0.420100283,4587,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,December 2017,NL,CE,0.407811477,4583,
IL066 ETTLESON HYUNDAI,Non-Prog,CE2,Brnd Den Ct,January 2018,NL,CE,0.418462878,4593,
