CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.710843373,83
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.448979592,49
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.594936709,79
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.931034483,58
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.753846154,65
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.733333333,75
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.838383838,99
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.903614458,83
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.666666667,12
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.761194030,67
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.76,25
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.688311688,77
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.722222222,54
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.592920354,113
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.702702703,74
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.547169811,53
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.563636364,55
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.593220339,59
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.420289855,69
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.315789474,76
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.25,64
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.682539683,63
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.560975610,82
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.208333333,24
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.227272727,44
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.627906977,43
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.444444444,108
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.533333333,105
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.68,50
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.619047619,63
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.911111111,45
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.826086957,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.696969697,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.793103448,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.740259740,77
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.724137931,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.608695652,23
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.9,30
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.846153846,26
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.742424242,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.707317073,41
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2017,NL,CE,4.863636364,88
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,March 2017,NL,CE,4.851851852,81
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,April 2017,NL,CE,4.631578947,76
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,May 2017,NL,CE,4.774647887,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,June 2017,NL,CE,4.793814433,97
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,July 2017,NL,CE,4.835616438,73
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,August 2017,NL,CE,4.694915254,118
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,September 2017,NL,CE,4.661971831,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,October 2017,NL,CE,4.666666667,27
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,November 2017,NL,CE,4.65,60
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,December 2017,NL,CE,4.763157895,38
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2018,NL,CE,4.670212766,94
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2018,NL,CE,4.708333333,72
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.64,100
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.679012346,162
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.412844037,109
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.612903226,124
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.510204082,196
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.882352941,136
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.695431472,197
