DlrCd,Start,End,Interval
NC015,201512,201809,Certified
NC028,201311,201804,Certified
NC029,201608,201809,Certified
NC030,201410,201602,Certified
NC032,201612,201809,Certified
NC038,201212,201605,Certified
NC041,201604,201706,Certified
NC043,201601,201809,Certified
NC044,201604,201809,Certified
NC047,201404,201603,Certified
NC048,201511,201809,Certified
NC049,201512,201809,Certified
NC060,201507,201809,Certified
NC064,201701,201805,Certified
NC065,201211,201605,Certified
NC066,201507,201604,Certified
NC067,201802,201809,Certified
NE011,201602,201701,Certified
NH006,201511,201612,Certified
NH009,201311,201809,Certified
NH012,201406,201710,Certified
NH014,201501,201809,Certified
NJ005,201710,201809,Certified
NJ015,201312,201809,Certified
NJ025,201512,201603,Certified
NJ032,201311,201505,Certified
NJ033,201407,201504,Certified
NJ034,201502,201509,Certified
NJ039,201405,201503,Certified
NJ045,201408,201504,Certified
NJ046,201408,201503,Certified
NJ047,201809,201809,Certified
NJ049,201606,201809,Certified
NJ051,201604,201702,Certified
NJ056,201809,201809,Certified
NJ057,201401,201605,Certified
NM011,201311,201606,Certified
NM012,201311,201606,Certified
NV020,201404,201605,Certified
NV025,201508,201606,Certified
NV026,201602,201809,Certified
NV027,201209,201602,Certified
NV028,201711,201808,Certified
NY013,201707,201804,Certified
NY024,201410,201809,Certified
NY025,201603,201809,Certified
NY036,201303,201506,Certified
NY041,201605,201809,Certified
NY055,201809,201809,Certified
NY058,201306,201809,Certified
NY060,201510,201809,Certified
NY061,201509,201602,Certified
NY062,201809,201809,Certified
NY075,201406,201601,Certified
NY078,201509,201607,Certified
NY082,201502,201602,Certified
NY083,201709,201709,Certified
NY086,201508,201604,Certified
NY096,201605,201809,Certified
NY099,201605,201809,Certified
NY105,201509,201604,Certified
NY107,201703,201809,Certified
NY110,201403,201507,Certified
NY119,201709,201802,Certified
NY126,201403,201508,Certified
NY127,201403,201510,Certified
NY129,201410,201503,Certified
NY130,201305,201609,Certified
NY132,201809,201809,Certified
NY133,201708,201809,Certified
NY134,201411,201706,Certified
NY135,201809,201809,Certified
NY136,201312,201801,Certified
OH027,201402,201510,Certified
OH044,201512,201809,Certified
OH045,201507,201602,Certified
OH047,201609,201805,Certified
OH050,201602,201809,Certified
OH056,201512,201809,Certified
OH057,201402,201510,Certified
OH058,201603,201603,Certified
OH061,201409,201508,Certified
OH068,201605,201809,Certified
OK015,201411,201502,Certified
OK019,201809,201809,Certified
OK024,201410,201502,Certified
OK028,201503,201702,Certified
OR015,201302,201509,Certified
OR017,201406,201502,Certified
OR025,201405,201502,Certified
OR035,201507,201809,Certified
OR036,201510,201809,Certified
OR038,201711,201806,Certified
OR039,201703,201806,Certified
PA002,201310,201809,Certified
PA003,201707,201807,Certified
PA014,201304,201807,Certified
PA018,201809,201809,Certified
PA024,201307,201809,Certified
PA032,201401,201809,Certified
PA034,201308,201602,Certified
PA037,201311,201809,Certified
PA039,201404,201503,Certified
PA042,201809,201809,Certified
PA043,201605,201809,Certified
PA044,201404,201503,Certified
PA053,201310,201508,Certified
PA057,201403,201509,Certified
PA059,201706,201809,Certified
PA065,201710,201809,Certified
PA070,201809,201809,Certified
PA071,201710,201808,Certified
PA076,201309,201809,Certified
PA079,201310,201809,Certified
PA083,201806,201809,Certified
PA084,201302,201708,Certified
RI008,201312,201804,Certified
RI011,201701,201710,Certified
SC030,201502,201604,Certified
SC033,201312,201605,Certified
SC042,201511,201809,Certified
SC043,201511,201809,Certified
SC044,201309,201704,Certified
SC045,201803,201809,Certified
SC046,201801,201809,Certified
SC047,201405,201809,Certified
SD005,201710,201809,Certified
TN008,201312,201703,Certified
TN028,201603,201703,Certified
TN032,201507,201703,Certified
TN035,201507,201702,Certified
TN045,201412,201809,Certified
TN046,201506,201703,Certified
TN047,201704,201802,Certified
TN050,201604,201706,Certified
TN052,201711,201805,Certified
TX016,201301,201503,Certified
TX040,201405,201503,Certified
TX056,201510,201703,Certified
TX060,201409,201710,Certified
TX062,201504,201607,Certified
TX093,201509,201705,Certified
TX100,201302,201605,Certified
TX104,201502,201802,Certified
TX108,201401,201508,Certified
TX111,201501,201806,Certified
TX118,201404,201503,Certified
TX127,201603,201705,Certified
TX131,201303,201501,Certified
TX132,201804,201809,Certified
TX136,201605,201703,Certified
TX145,201809,201809,Certified
TX151,201409,201508,Certified
TX157,201601,201703,Certified
TX158,201608,201705,Certified
TX165,201308,201706,Certified
TX169,201411,201806,Certified
TX171,201311,201608,Certified
TX172,201601,201703,Certified
TX173,201209,201509,Certified
TX174,201712,201809,Certified
TX176,201411,201510,Certified
TX179,201502,201704,Certified
TX181,201403,201704,Certified
TX183,201809,201809,Certified
UT002,201306,201509,Certified
UT013,201303,201509,Certified
UT015,201301,201501,Certified
UT016,201405,201707,Certified
UT017,201307,201804,Certified
VA004,201712,201809,Certified
VA006,201301,201504,Certified
VA011,201706,201809,Certified
VA018,201409,201512,Certified
VA024,201311,201510,Certified
VA028,201306,201601,Certified
VA036,201305,201504,Certified
VA039,201512,201604,Certified
VA043,201303,201603,Certified
VA044,201510,201809,Certified
VA046,201510,201809,Certified
VA047,201511,201809,Certified
VA049,201511,201809,Certified
VA051,201601,201706,Certified
VA052,201611,201809,Certified
VT004,201504,201809,Certified
VT007,201705,201807,Certified
WA007,201801,201809,Certified
WA020,201404,201505,Certified
WA050,201508,201809,Certified
WA053,201809,201809,Certified
WA054,201306,201808,Certified
WI014,201405,201604,Certified
WI021,201605,201710,Certified
WI022,201309,201601,Certified
WI023,201601,201708,Certified
WI030,201606,201706,Certified
WI032,201407,201602,Certified
WI034,201507,201604,Certified
WI036,201712,201809,Certified
WI037,201712,201809,Certified
