CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELY_SCORE,Count of TIMELY_SCORE
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.964285714,56
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.956521739,69
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.982758621,58
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.980392157,51
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.979591837,49
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.96875,64
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.925373134,67
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.954545455,88
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.967213115,61
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,1,24
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.921568627,51
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.980769231,52
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.909090909,11
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.916666667,72
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.925,80
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.923076923,78
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.911392405,79
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.849056604,106
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.890243902,82
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.875,112
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.868131868,91
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.844444444,135
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.90625,32
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.846153846,91
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.890109890,91
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.956521739,23
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.966101695,59
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.924050633,79
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,1,58
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.953846154,65
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.946666667,75
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.919191919,99
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.987951807,83
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.916666667,12
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.970149254,67
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.933333333,30
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.965517241,116
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.96875,96
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.9,20
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.954545455,44
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.867924528,53
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.945454545,55
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.898305085,59
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.898550725,69
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.815789474,76
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.828125,64
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.904761905,63
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.841463415,82
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.769230769,26
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.888888889,81
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.865671642,67
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.857142857,14
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.931034483,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.96,50
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.968253968,63
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,1,45
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.934782609,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,1,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.948275862,58
