CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELY_SCORE,Count of TIMELY_SCORE
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.981308411,107
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.978723404,94
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.973451327,113
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.984848485,132
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.972972973,111
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.992957746,142
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.983471074,121
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,0.970588235,34
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.958677686,121
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,1,110
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0.918918919,37
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.969465649,131
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.942857143,175
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.972527473,182
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.974842767,159
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.969465649,131
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.947643979,191
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.958041958,143
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.951807229,166
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.982035928,167
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,57
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.966292135,178
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.980263158,152
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0.928571429,28
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.984251969,127
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.993103448,145
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.983425414,181
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.98,150
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.971014493,138
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.988826816,179
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.970588235,136
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.988826816,179
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.978873239,142
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,28
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,1,134
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.990384615,104
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.882352941,136
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.910447761,134
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.935779817,109
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.925233645,107
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.946564885,131
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.960264901,151
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.865671642,134
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.962962963,189
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.944134078,179
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,50
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.958579882,169
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.969465649,131
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0.9,30
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.955056180,89
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.942148760,121
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.960317460,126
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.943925234,107
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.981481481,108
Non-Prog,MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.991666667,120
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.933333333,75
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.973684211,76
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.957446809,94
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.959459459,74
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.945945946,74
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.964285714,112
Non-Prog,MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.902439024,41
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.736842105,19
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.928571429,14
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.9375,16
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.882352941,17
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.823529412,17
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.944444444,36
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.777777778,18
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.909090909,44
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,1,27
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,3
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.722222222,18
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,1,18
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0,1
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.928571429,70
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.911764706,102
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.949494949,99
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.9375,112
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.857142857,126
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.946153846,130
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.943396226,106
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.927927928,111
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.943181818,88
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,0.928571429,28
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.954545455,110
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.962616822,107
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0.96,25
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,August 2017,NL,CE,0.904761905,21
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,September 2017,NL,CE,1,13
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,October 2017,NL,CE,1,3
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,November 2017,NL,CE,0.882352941,17
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,December 2017,NL,CE,0.956521739,23
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,January 2018,NL,CE,1,5
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.878504673,214
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,0.96,100
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,0.95,20
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.963636364,110
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.955357143,112
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,1,14
Non-Prog,MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.945945946,148
Non-Prog,MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,1,17
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.833333333,6
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,1,8
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,1,10
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.928571429,14
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,1,8
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,1,13
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.777777778,9
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,1,21
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,1,15
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,5
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,1,9
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,1,5
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.791666667,24
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.892857143,28
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.84,25
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,0.772727273,22
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,0.935483871,31
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,0.861111111,36
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,0.960784314,51
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,0.9375,32
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,1,29
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,8
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,0.967741935,31
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.944444444,36
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,0.8,5
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,January 2017,NL,CE,0.916666667,12
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,February 2017,NL,CE,0.961538462,26
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,March 2017,NL,CE,0.904761905,21
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,April 2017,NL,CE,1,16
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,May 2017,NL,CE,1,15
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,June 2017,NL,CE,1,29
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,July 2017,NL,CE,1,24
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,August 2017,NL,CE,1,26
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,September 2017,NL,CE,1,19
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,October 2017,NL,CE,1,3
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,November 2017,NL,CE,1,17
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,December 2017,NL,CE,0.96,25
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,1,5
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,January 2017,NL,CE,0.90625,32
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,February 2017,NL,CE,0.888888889,18
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,March 2017,NL,CE,0.947368421,19
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,April 2017,NL,CE,1,20
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,May 2017,NL,CE,0.954545455,22
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,June 2017,NL,CE,0.966666667,30
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,July 2017,NL,CE,0.931034483,29
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,August 2017,NL,CE,0.966666667,30
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,September 2017,NL,CE,0.958333333,24
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,October 2017,NL,CE,0.857142857,7
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,November 2017,NL,CE,1,14
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,December 2017,NL,CE,0.956521739,23
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,January 2018,NL,CE,1,5
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,0.833333333,18
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,1,11
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,1,14
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.833333333,24
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,1,21
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.9375,16
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.862068966,29
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.909090909,33
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.888888889,18
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,1,5
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.941176471,17
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.833333333,12
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,1,2
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,1,94
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,0.966292135,89
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,0.984126984,126
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.967741935,93
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.972222222,108
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.953125,128
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.965116279,86
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.957627119,118
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.9875,80
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,1,22
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.976470588,85
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.979591837,98
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,1,13
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,0.946666667,75
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,0.867469880,83
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,0.935185185,108
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.945205479,73
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.949494949,99
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.909836066,122
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.893442623,122
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.891891892,148
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.889763780,127
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,1,33
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.950413223,121
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.969230769,130
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,1,19
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,0.949494949,99
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,0.973451327,113
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,0.938461538,130
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.925531915,94
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.940594059,101
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.934306569,137
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.949640288,139
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.970760234,171
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.979381443,97
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,0.970588235,34
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.931034483,116
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.9453125,128
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,0.96,25
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,0.964285714,84
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,0.938775510,49
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,0.968085106,94
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.894230769,104
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.982758621,116
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.966666667,120
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.959349593,123
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.970588235,136
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.972222222,108
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,0.972972973,37
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.96875,96
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.982142857,112
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,0.944444444,18
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,1,7
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,0.857142857,7
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,1,11
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,0.727272727,22
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.933333333,30
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,0.958333333,24
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,0.9,20
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.866666667,15
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.888888889,18
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,0.833333333,6
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.857142857,21
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,0.928571429,14
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,0.5,4
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,January 2017,NL,CE,0.964285714,28
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,February 2017,NL,CE,1,32
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,March 2017,NL,CE,0.923076923,26
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,April 2017,NL,CE,1,25
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,May 2017,NL,CE,0.925925926,27
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,June 2017,NL,CE,1,29
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,July 2017,NL,CE,1,32
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,August 2017,NL,CE,0.96875,32
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,September 2017,NL,CE,0.958333333,24
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,October 2017,NL,CE,1,6
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,November 2017,NL,CE,0.95,20
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,December 2017,NL,CE,1,34
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,1,6
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,January 2017,NL,CE,0.989361702,94
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,February 2017,NL,CE,0.962616822,107
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,March 2017,NL,CE,0.974358974,117
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,April 2017,NL,CE,0.951456311,103
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,May 2017,NL,CE,0.975,120
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,June 2017,NL,CE,0.932692308,104
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,July 2017,NL,CE,0.924528302,106
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,August 2017,NL,CE,0.992063492,126
