DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,93218.95
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,110916.49
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,98266.86
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,113071.65
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,105838.33
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,90675.29
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,90374.11
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,78052.64
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,80745.48
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,84780.43
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,97984.92
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,82149.14
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-5.888309190%,87729.93
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-23.257921342%,85119.62
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-2.249873457%,96055.98
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-25.392041241%,84360.45
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-7.792139199%,97591.26
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,4.125489976%,94416.09
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,1.173035065%,91434.23
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,-10.228084534%,70069.35
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,7.492877620%,86795.64
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,54.851880322%,131284.09
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,1.616248704%,99568.6
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,8.249909859%,88926.37
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,-21.170802256%,69156.8
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,98684.52
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,128521.12
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,119086
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,141776.9
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,158206.24
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,137041.14
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,155278.27
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,138035.98
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,135684.92
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,151694.79
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,153375.46
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,146006.33
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,29.813267572%,128105.6
