DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,-10.413882663%,218125.9
MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,-3.890797618%,218171.58
MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,-29.746969218%,151498.75
MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,24.926864453%,205482.53
MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,25.298507560%,181719.16
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,100623.95
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,105037.21
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,119983.76
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,137005.37
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,144133.94
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,125170.52
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,179511.66
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,174458.04
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,175644.15
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,150879.42
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,149049.94
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,122798.48
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,22.925436737%,123692.43
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,47.665917631%,155104.16
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,7.258115598%,128692.32
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,8.187620675%,148222.85
MN022 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-6.983115843%,134068.9
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,77693.29
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,99481.73
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,97197.61
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,85644.25
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,91463.81
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,89126.17
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,103351.35
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,96427.71
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,115242.52
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,102255.51
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,108023.99
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,92871.66
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,3.177198443%,80161.76
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,-5.172758857%,94335.78
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,-2.374595425%,94889.56
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,18.620094169%,101591.29
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-6.257983349%,85740.02
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,5.542401295%,94065.9
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,7.424692566%,111024.87
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-44.749522725%,53276.77
MN023 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,-100%,0
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,16975.91
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,17201.25
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,23352.88
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,15332.37
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,14629.41
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,13302.62
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,23257.49
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,19982.3
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,14043.25
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,20366.43
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,21545.96
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,17713.46
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,-0.987870459%,16808.21
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,1.334379769%,17430.78
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,-12.721600077%,20382.02
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,15.917108705%,17772.84
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,15.124806810%,16842.08
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,91.741250972%,25506.61
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,2.126196765%,23751.99
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,5.775161018%,21136.31
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,80.470973599%,25343.99
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,18.772460367%,24189.71
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,-30.386995984%,14998.79
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,15.282502684%,20420.52
MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,-20.535143242%,13356.62
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,122604.29
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,123240.19
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,120461.14
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,133055.44
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,120483.1
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,134454.77
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,144439.77
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,153824.21
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,97896.04
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,121394.15
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,95293.09
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,,96307.95
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,1.382643299%,124299.47
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,2.984545869%,126918.35
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,12.247543067%,135214.67
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,5.836875215%,140821.72
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,10.807847740%,133504.73
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,-4.092878222%,128951.7
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-13.145936192%,125451.81
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,-17.563178124%,126807.79
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,33.103902875%,130303.45
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,3.599786316%,125764.08
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,38.926400645%,132387.26
MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,49.865519929%,144332.41
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,July,NL,CE,2017,,4467.13
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,August,NL,CE,2017,,11510.01
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,September,NL,CE,2017,,11402.94
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,October,NL,CE,2017,,8432.45
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,November,NL,CE,2017,,11193.44
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,December,NL,CE,2017,,6371.99
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,January,NL,CE,2018,,10292.61
MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,Cpdol,February,NL,CE,2018,,5936.22
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,,74838.37
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,,138560.4
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,,117967.78
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,,159560.9
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,,140056.09
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,,146777.55
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,,136849.13
MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,,119226.87
MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,,63947.22
MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,,97373.33
MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,,104106.04
MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,,75412.95
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,24856.21
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,32725.85
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,30750.73
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,33898.51
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,33141.81
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,23386.2
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,29672.44
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,25017.84
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,22918.84
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,18121.78
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,24368.01
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,25082.67
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,-27.501859696%,18020.29
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,-11.390567395%,28998.19
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,-16.602109934%,25645.46
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,-29.093343631%,24036.3
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-43.393677050%,18760.36
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,11.055408745%,25971.64
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,-16.003233977%,24923.89
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-6.254496791%,23453.1
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,23.992008322%,28417.53
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,38.119710095%,25029.75
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,-17.245027395%,20165.74
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,14.366333409%,28686.13
ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,-16.458836123%,15054.36
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,36254.88
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,33698.15
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,32300.8
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,35053.03
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,58986.46
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,56746.19
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,51380.8
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,43790.43
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,39293.13
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,44442.19
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,42601.61
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,45644.41
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,37.899394509%,49995.26
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,78.618410803%,60191.1
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,34.002470527%,43283.87
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,6.562314299%,37353.32
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-37.611512879%,36800.76
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,-39.447370828%,34361.31
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,-21.637479370%,40263.29
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-14.830249440%,37296.2
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,14.074216027%,44823.33
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,-12.722752862%,38787.92
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,-5.841633685%,40112.98
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,-10.256020398%,40963.11
ND006 GATEWAY HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,-2.106699715%,48942.01
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,27009.55
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,37658.39
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,31995.66
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,30956.13
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,38390.63
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,26500.64
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,27203.95
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,32675.25
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,34641.24
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,31117.03
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,41433.86
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,28896.85
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2017,35.774346481%,36672.04
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,March,NL,CE,2017,-13.919262082%,32416.62
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,April,NL,CE,2017,26.931746368%,40612.65
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,May,NL,CE,2017,15.136549691%,35641.82
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-14.052204926%,32995.9
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,July,NL,CE,2017,-2.964720852%,25714.97
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,August,NL,CE,2017,2.154319501%,27790.01
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-22.226210970%,25412.78
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,October,NL,CE,2017,2.103360041%,35369.87
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,November,NL,CE,2017,6.439560588%,33120.83
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,December,NL,CE,2017,-40.789561967%,24533.17
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,January,NL,CE,2018,61.460712846%,46657.06
ND010 EIDE HYUNDAI,Non-Prog,CE7,Cpdol,February,NL,CE,2018,-22.289569928%,28498
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,February,NL,CE,2016,,21777.1
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,March,NL,CE,2016,,30326.32
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,April,NL,CE,2016,,32195.94
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,May,NL,CE,2016,,39584.98
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,June,NL,CE,2016,,38417.58
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,July,NL,CE,2016,,32200.53
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,August,NL,CE,2016,,35365.5
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,September,NL,CE,2016,,28343.95
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,October,NL,CE,2016,,39176.36
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,November,NL,CE,2016,,26705.81
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,December,NL,CE,2016,,31386.43
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,January,NL,CE,2017,,32562.22
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,February,NL,CE,2017,15.664023217%,25188.27
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,March,NL,CE,2017,16.787661675%,35417.4
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,April,NL,CE,2017,6.277033688%,34216.89
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,May,NL,CE,2017,-7.296227003%,36696.77
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,June,NL,CE,2017,-4.543753146%,36671.98
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,July,NL,CE,2017,-3.942171138%,30931.13
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,August,NL,CE,2017,5.901514188%,37452.6
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,September,NL,CE,2017,-6.291289676%,26560.75
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,October,NL,CE,2017,8.290688568%,42424.35
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,November,NL,CE,2017,52.642889319%,40764.52
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,December,NL,CE,2017,2.492287272%,32168.67
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,January,NL,CE,2018,-18.006143316%,26699.02
ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,Cpdol,February,NL,CE,2018,-24.548807838%,19004.85
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,February,NL,CE,2016,,39613.04
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,March,NL,CE,2016,,43406.07
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,April,NL,CE,2016,,41895.77
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,May,NL,CE,2016,,56902.55
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,June,NL,CE,2016,,51757.53
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,July,NL,CE,2016,,45101.55
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,August,NL,CE,2016,,41913.81
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,September,NL,CE,2016,,48256.58
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,October,NL,CE,2016,,47773.09
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,November,NL,CE,2016,,40794.1
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,December,NL,CE,2016,,52254
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,January,NL,CE,2017,,48874.37
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,February,NL,CE,2017,12.926097063%,44733.46
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,March,NL,CE,2017,27.745888997%,55449.47
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,April,NL,CE,2017,18.657587628%,49712.51
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,May,NL,CE,2017,-27.574089386%,41212.19
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,June,NL,CE,2017,-1.974321418%,50735.67
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,July,NL,CE,2017,6.161761625%,47880.6
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,August,NL,CE,2017,16.833950433%,48969.56
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,September,NL,CE,2017,17.295755315%,56602.92
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,October,NL,CE,2017,-4.227903198%,45753.29
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,November,NL,CE,2017,-0.018875279%,40786.4
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,December,NL,CE,2017,-3.240861944%,50560.52
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,January,NL,CE,2018,6.555542302%,52078.35
OH022 TOM AHL HYUNDAI,Non-Prog,CE8,Cpdol,February,NL,CE,2018,-6.017777297%,42041.5
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,February,NL,CE,2016,,125208.96
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,March,NL,CE,2016,,159532.59
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,April,NL,CE,2016,,139241.87
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,May,NL,CE,2016,,114382.39
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,June,NL,CE,2016,,127434.63
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,July,NL,CE,2016,,147643.44
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,August,NL,CE,2016,,163414.32
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,September,NL,CE,2016,,144489.16
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,October,NL,CE,2016,,131975.77
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,November,NL,CE,2016,,127030.92
OH027 DENNIS HYUNDAI,Non-Prog,CE8,Cpdol,December,NL,CE,2016,,153716.41
